s_no,asi_circle,monument,period,year_index,domestic_visitors,foreign_visitors,total_visitors,flag_source_anomaly,flag_likely_extraction_error,flag_incomplete_pair,exclude_from_training,covid_year,recovery_year,post_covid
123,Jaipur,"Ancient Site, Bhangarh",2021-22,2,147549.0,152.0,147701.0,False,False,False,False,0,1,0
123,Jaipur,"Ancient Site, Bhangarh",2022-23,3,184391.0,1450.0,185841.0,False,False,False,False,0,0,1
123,Jaipur,"Ancient Site, Bhangarh",2023-24,4,265999.0,2575.0,268574.0,False,False,False,False,0,0,1
123,Jaipur,"Ancient Site, Bhangarh",2024-25,5,234945.0,2085.0,237030.0,False,False,False,False,0,0,1
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",2019-20,0,23354.0,18.0,23372.0,False,False,False,False,0,0,0
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",2020-21,1,16546.0,8.0,16554.0,False,False,False,False,1,0,0
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",2021-22,2,18655.0,41.0,18696.0,False,False,False,False,0,1,0
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",2022-23,3,17962.0,57.0,18019.0,False,False,False,False,0,0,1
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",2023-24,4,20248.0,0.0,20248.0,False,False,False,False,0,0,1
49,Bhopal,"Ancient site and Adamgarh Rock Shelter, Kalamdi Rasuliya and Kishanpur",2024-25,5,21336.0,1.0,21337.0,False,False,False,False,0,0,1
131,Patna,"Ancient site of Vaishali, Kolhua",2019-20,0,89631.0,12962.0,102593.0,False,False,False,False,0,0,0
131,Patna,"Ancient site of Vaishali, Kolhua",2020-21,1,49207.0,,49207.0,False,True,False,True,1,0,0
131,Patna,"Ancient site of Vaishali, Kolhua",2021-22,2,46095.0,28.0,46123.0,False,False,False,False,0,1,0
131,Patna,"Ancient site of Vaishali, Kolhua",2022-23,3,108428.0,9673.0,118101.0,False,False,False,False,0,0,1
131,Patna,"Ancient site of Vaishali, Kolhua",2023-24,4,71084.0,25602.0,96686.0,False,False,False,False,0,0,1
131,Patna,"Ancient site of Vaishali, Kolhua",2024-25,5,70289.0,28795.0,99084.0,False,False,False,False,0,0,1
68,Rajkot,"Asokan Rock Edict, Junagadh",2019-20,0,6176.0,168.0,6344.0,False,False,False,False,0,0,0
68,Rajkot,"Asokan Rock Edict, Junagadh",2020-21,1,10498.0,16.0,10514.0,False,False,False,False,1,0,0
68,Rajkot,"Asokan Rock Edict, Junagadh",2021-22,2,31685.0,27.0,31712.0,False,False,False,False,0,1,0
68,Rajkot,"Asokan Rock Edict, Junagadh",2022-23,3,29110.0,177.0,29287.0,False,False,False,False,0,0,1
68,Rajkot,"Asokan Rock Edict, Junagadh",2023-24,4,26193.0,240.0,26433.0,False,False,False,False,0,0,1
68,Rajkot,"Asokan Rock Edict, Junagadh",2024-25,5,27611.0,297.0,27908.0,False,False,False,False,0,0,1
85,Aurangabad,Aurangabad Caves,2019-20,0,182032.0,2690.0,184722.0,False,False,False,False,0,0,0
85,Aurangabad,Aurangabad Caves,2020-21,1,34976.0,19.0,34995.0,False,False,False,False,1,0,0
85,Aurangabad,Aurangabad Caves,2021-22,2,68642.0,79.0,68721.0,False,False,False,False,0,1,0
85,Aurangabad,Aurangabad Caves,2022-23,3,115500.0,852.0,116352.0,False,False,False,False,0,0,1
85,Aurangabad,Aurangabad Caves,2023-24,4,132518.0,1495.0,134013.0,False,False,False,False,0,0,1
85,Aurangabad,Aurangabad Caves,2024-25,5,126327.0,1609.0,127936.0,False,False,False,False,0,0,1
139,Srinagar,"Avantiswamin Temple, Avantipur District Pulwana",2019-20,0,9939.0,32.0,9971.0,False,False,False,False,0,0,0
139,Srinagar,"Avantiswamin Temple, Avantipur District Pulwana",2020-21,1,5706.0,8.0,5714.0,False,False,False,False,1,0,0
139,Srinagar,"Avantiswamin Temple, Avantipur District Pulwana",2021-22,2,24957.0,6.0,24963.0,False,False,False,False,0,1,0
139,Srinagar,"Avantiswamin Temple, Avantipur District Pulwana",2022-23,3,44336.0,99.0,44435.0,False,False,False,False,0,0,1
139,Srinagar,"Avantiswamin Temple, Avantipur District Pulwana",2023-24,4,43389.0,385.0,43774.0,False,False,False,False,0,0,1
139,Srinagar,"Avantiswamin Temple, Avantipur District Pulwana",2024-25,5,41685.0,276.0,41961.0,False,False,False,False,0,0,1
70,Rajkot,"Baba Pyara Caves, Junagadh & Khaprakodia Caves Junagadh",2019-20,0,5858.0,142.0,6000.0,False,False,False,False,0,0,0
70,Rajkot,"Baba Pyara Caves, Junagadh & Khaprakodia Caves Junagadh",2020-21,1,1691.0,1.0,1692.0,False,False,False,False,1,0,0
70,Rajkot,"Baba Pyara Caves, Junagadh & Khaprakodia Caves Junagadh",2021-22,2,2715.0,6.0,2721.0,False,False,False,False,0,1,0
70,Rajkot,"Baba Pyara Caves, Junagadh & Khaprakodia Caves Junagadh",2022-23,3,2809.0,9.0,2818.0,False,False,False,False,0,0,1
70,Rajkot,"Baba Pyara Caves, Junagadh & Khaprakodia Caves Junagadh",2023-24,4,2895.0,11.0,2906.0,False,False,False,False,0,0,1
70,Rajkot,"Baba Pyara Caves, Junagadh & Khaprakodia Caves Junagadh",2024-25,5,3323.0,24.0,3347.0,False,False,False,False,0,0,1
46,Bhopal,"Badal Mahal Gateway, Chanderi",2019-20,0,13708.0,89.0,13797.0,False,False,False,False,0,0,0
46,Bhopal,"Badal Mahal Gateway, Chanderi",2020-21,1,9689.0,5.0,9694.0,False,False,False,False,1,0,0
46,Bhopal,"Badal Mahal Gateway, Chanderi",2021-22,2,11027.0,6.0,11033.0,False,False,False,False,0,1,0
46,Bhopal,"Badal Mahal Gateway, Chanderi",2022-23,3,8637.0,51.0,8688.0,False,False,False,False,0,0,1
46,Bhopal,"Badal Mahal Gateway, Chanderi",2023-24,4,2887.0,9.0,2896.0,False,False,False,False,0,0,1
46,Bhopal,"Badal Mahal Gateway, Chanderi",2024-25,5,14607.0,125.0,14732.0,False,False,False,False,0,0,1
124,Jaipur,Baori at Abhaneri,2019-20,0,66821.0,85732.0,152553.0,False,False,False,False,0,0,0
124,Jaipur,Baori at Abhaneri,2020-21,1,44284.0,115.0,44399.0,False,False,False,False,1,0,0
124,Jaipur,Baori at Abhaneri,2021-22,2,57881.0,817.0,58698.0,False,False,False,False,0,1,0
124,Jaipur,Baori at Abhaneri,2022-23,3,81401.0,39248.0,120649.0,False,False,False,False,0,0,1
124,Jaipur,Baori at Abhaneri,2023-24,4,100468.0,96080.0,196548.0,False,False,False,False,0,0,1
124,Jaipur,Baori at Abhaneri,2024-25,5,101710.0,116378.0,218088.0,False,False,False,False,0,0,1
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",2019-20,0,334846.0,728.0,335574.0,False,False,False,False,0,0,0
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",2020-21,1,115333.0,242.0,115575.0,False,False,False,False,1,0,0
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",2021-22,2,200127.0,133.0,200260.0,False,False,False,False,0,1,0
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",2022-23,3,384008.0,498.0,384506.0,False,False,False,False,0,0,1
23,Thrissur,"Bekal Fort, Pallikkare Distt. Kasargod",2023-24,4,366905.0,534.0,367439.0,False,False,False,False,0,0,1
